chart_type,file,source_path,old_reason_codes,new_reason_codes,x_axis_type_pred,x_axis_type_gt,y_axis_type_pred,y_axis_type_gt,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,grid_path,encrypted_grid_path,ticks_json_path,error
line,line_018.png,F:\program\test-demo\backend\charts\line\line_018.png,x_axis_type_wrong,,text,text,numeric,numeric,4,7,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_018_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_018_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_018_ticks.json,
line,line_020.png,F:\program\test-demo\backend\charts\line\line_020.png,x_axis_type_wrong,,text,text,numeric,numeric,4,6,4,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_020_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_020_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_020_ticks.json,
line,line_025.png,F:\program\test-demo\backend\charts\line\line_025.png,x_axis_type_wrong,,text,text,numeric,numeric,7,9,7,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_025_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_025_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_025_ticks.json,
line,line_029.png,F:\program\test-demo\backend\charts\line\line_029.png,x_axis_type_wrong,,text,text,numeric,numeric,7,8,7,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_029_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_029_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_029_ticks.json,
line,line_030.png,F:\program\test-demo\backend\charts\line\line_030.png,x_axis_type_wrong,,text,text,numeric,numeric,2,7,2,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_030_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_030_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_030_ticks.json,
line,line_036.png,F:\program\test-demo\backend\charts\line\line_036.png,x_axis_type_wrong,,text,text,numeric,numeric,3,7,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_036_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_036_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_036_ticks.json,
line,line_037.png,F:\program\test-demo\backend\charts\line\line_037.png,x_axis_type_wrong,,text,text,numeric,numeric,3,7,3,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_037_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_037_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_037_ticks.json,
line,line_043.png,F:\program\test-demo\backend\charts\line\line_043.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,6,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_043_ticks.json,
line,line_062.png,F:\program\test-demo\backend\charts\line\line_062.png,x_axis_type_wrong,,text,text,numeric,numeric,4,8,4,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_062_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_062_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_062_ticks.json,
line,line_065.png,F:\program\test-demo\backend\charts\line\line_065.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,12,5,23,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_065_ticks.json,
line,line_073.png,F:\program\test-demo\backend\charts\line\line_073.png,x_axis_type_wrong,,text,text,numeric,numeric,13,6,13,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_073_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_073_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_073_ticks.json,
line,line_075.png,F:\program\test-demo\backend\charts\line\line_075.png,x_axis_type_wrong,,text,text,numeric,numeric,6,6,6,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_075_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_075_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_075_ticks.json,
line,line_077.png,F:\program\test-demo\backend\charts\line\line_077.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,3,6,5,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_077_ticks.json,
line,line_083.png,F:\program\test-demo\backend\charts\line\line_083.png,x_axis_type_wrong,,text,text,numeric,numeric,6,7,6,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_083_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_083_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_083_ticks.json,
line,line_111.png,F:\program\test-demo\backend\charts\line\line_111.png,x_axis_type_wrong,x_axis_type_wrong,numeric,text,numeric,numeric,5,7,9,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\line\line_111_ticks.json,
scatter,scatter_006.png,F:\program\test-demo\backend\charts\scatter\scatter_006.png,y_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_006_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_006_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_006_ticks.json,
scatter,scatter_014.png,F:\program\test-demo\backend\charts\scatter\scatter_014.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_014_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_014_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_014_ticks.json,
scatter,scatter_025.png,F:\program\test-demo\backend\charts\scatter\scatter_025.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_025_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_025_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_025_ticks.json,
scatter,scatter_031.png,F:\program\test-demo\backend\charts\scatter\scatter_031.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_031_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_031_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_031_ticks.json,
scatter,scatter_037.png,F:\program\test-demo\backend\charts\scatter\scatter_037.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_037_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_037_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_037_ticks.json,
scatter,scatter_044.png,F:\program\test-demo\backend\charts\scatter\scatter_044.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_044_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_044_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_044_ticks.json,
scatter,scatter_047.png,F:\program\test-demo\backend\charts\scatter\scatter_047.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_047_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_047_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_047_ticks.json,
scatter,scatter_051.png,F:\program\test-demo\backend\charts\scatter\scatter_051.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_051_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_051_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_051_ticks.json,
scatter,scatter_057.png,F:\program\test-demo\backend\charts\scatter\scatter_057.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_057_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_057_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_057_ticks.json,
scatter,scatter_064.png,F:\program\test-demo\backend\charts\scatter\scatter_064.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_064_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_064_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_064_ticks.json,
scatter,scatter_065.png,F:\program\test-demo\backend\charts\scatter\scatter_065.png,x_axis_type_wrong|y_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_065_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_065_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_065_ticks.json,
scatter,scatter_067.png,F:\program\test-demo\backend\charts\scatter\scatter_067.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_067_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_067_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_067_ticks.json,
scatter,scatter_068.png,F:\program\test-demo\backend\charts\scatter\scatter_068.png,y_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_068_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_068_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_068_ticks.json,
scatter,scatter_076.png,F:\program\test-demo\backend\charts\scatter\scatter_076.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_076_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_076_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_076_ticks.json,
scatter,scatter_077.png,F:\program\test-demo\backend\charts\scatter\scatter_077.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_077_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_077_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_077_ticks.json,
scatter,scatter_079.png,F:\program\test-demo\backend\charts\scatter\scatter_079.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_079_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_079_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_079_ticks.json,
scatter,scatter_081.png,F:\program\test-demo\backend\charts\scatter\scatter_081.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_081_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_081_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_081_ticks.json,
scatter,scatter_089.png,F:\program\test-demo\backend\charts\scatter\scatter_089.png,y_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_089_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_089_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_089_ticks.json,
scatter,scatter_093.png,F:\program\test-demo\backend\charts\scatter\scatter_093.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_093_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_093_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_093_ticks.json,
scatter,scatter_094.png,F:\program\test-demo\backend\charts\scatter\scatter_094.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_094_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_094_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_094_ticks.json,
scatter,scatter_099.png,F:\program\test-demo\backend\charts\scatter\scatter_099.png,x_axis_type_wrong|x_numeric_ticks_lt_2,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_099_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_099_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\scatter\scatter_099_ticks.json,
bubble,bubble_005.png,F:\program\test-demo\backend\charts\bubble\bubble_005.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_005_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_005_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_005_ticks.json,
bubble,bubble_012.png,F:\program\test-demo\backend\charts\bubble\bubble_012.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_012_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_012_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_012_ticks.json,
bubble,bubble_014.png,F:\program\test-demo\backend\charts\bubble\bubble_014.png,x_axis_type_wrong,,numeric,numeric,numeric,numeric,5,5,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_014_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_014_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\bubble\bubble_014_ticks.json,
v_bar,v_bar_000.png,F:\program\test-demo\backend\charts\v_bar\v_bar_000.png,x_axis_type_wrong|y_axis_type_wrong,,text,text,numeric,numeric,8,9,8,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_000_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_000_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_000_ticks.json,
v_bar,v_bar_004.png,F:\program\test-demo\backend\charts\v_bar\v_bar_004.png,y_axis_type_wrong,,text,text,numeric,numeric,8,7,8,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_004_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_004_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_004_ticks.json,
v_bar,v_bar_006.png,F:\program\test-demo\backend\charts\v_bar\v_bar_006.png,y_axis_type_wrong,,text,text,numeric,numeric,8,6,8,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_006_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_006_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_006_ticks.json,
v_bar,v_bar_008.png,F:\program\test-demo\backend\charts\v_bar\v_bar_008.png,y_axis_type_wrong,,text,text,numeric,numeric,13,6,13,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_008_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_008_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_008_ticks.json,
v_bar,v_bar_014.png,F:\program\test-demo\backend\charts\v_bar\v_bar_014.png,y_axis_type_wrong,,text,text,numeric,numeric,5,10,5,19,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_014_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_014_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_014_ticks.json,
v_bar,v_bar_018.png,F:\program\test-demo\backend\charts\v_bar\v_bar_018.png,y_axis_type_wrong,,text,text,numeric,numeric,11,6,11,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_018_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_018_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_018_ticks.json,
v_bar,v_bar_034.png,F:\program\test-demo\backend\charts\v_bar\v_bar_034.png,y_axis_type_wrong,,text,text,numeric,numeric,12,7,12,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_034_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_034_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_034_ticks.json,
v_bar,v_bar_039.png,F:\program\test-demo\backend\charts\v_bar\v_bar_039.png,y_axis_type_wrong,,text,text,numeric,numeric,4,8,4,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_039_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_039_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_039_ticks.json,
v_bar,v_bar_043.png,F:\program\test-demo\backend\charts\v_bar\v_bar_043.png,y_axis_type_wrong,,text,text,numeric,numeric,6,5,6,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_043_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_043_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_043_ticks.json,
v_bar,v_bar_050.png,F:\program\test-demo\backend\charts\v_bar\v_bar_050.png,y_axis_type_wrong,,text,text,numeric,numeric,20,7,20,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_050_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_050_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_050_ticks.json,
v_bar,v_bar_053.png,F:\program\test-demo\backend\charts\v_bar\v_bar_053.png,y_axis_type_wrong,,text,text,numeric,numeric,3,8,3,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_053_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_053_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_prompt_actionable\v_bar\v_bar_053_ticks.json,
