chart_type,file,path,reason_codes,x_axis_type_pred,x_axis_type_gt,y_axis_type_pred,y_axis_type_gt,pred_x_values,pred_y_values,gt_x_ticks,gt_y_ticks
h_bar,h_bar_107.png,F:\program\test-demo\backend\charts\h_bar\h_bar_107.png,x_axis_type_wrong,text,numeric,text,text,7,7,13,7
h_bar,h_bar_108.png,F:\program\test-demo\backend\charts\h_bar\h_bar_108.png,x_axis_type_wrong,text,numeric,text,text,9,9,17,9
h_bar,h_bar_113.png,F:\program\test-demo\backend\charts\h_bar\h_bar_113.png,x_axis_type_wrong,text,numeric,text,text,10,10,13,10
h_bar,h_bar_117.png,F:\program\test-demo\backend\charts\h_bar\h_bar_117.png,x_axis_type_wrong,text,numeric,text,text,19,19,11,19
h_bar,h_bar_118.png,F:\program\test-demo\backend\charts\h_bar\h_bar_118.png,x_axis_type_wrong,text,numeric,text,text,5,5,13,5
h_bar,h_bar_119.png,F:\program\test-demo\backend\charts\h_bar\h_bar_119.png,x_axis_type_wrong,text,numeric,text,text,12,13,17,12
h_bar,h_bar_122.png,F:\program\test-demo\backend\charts\h_bar\h_bar_122.png,x_axis_type_wrong,text,numeric,text,text,20,20,15,20
h_bar,h_bar_126.png,F:\program\test-demo\backend\charts\h_bar\h_bar_126.png,x_axis_type_wrong,text,numeric,text,text,11,11,13,11
h_bar,h_bar_129.png,F:\program\test-demo\backend\charts\h_bar\h_bar_129.png,x_axis_type_wrong,text,numeric,text,text,2,2,15,2
h_bar,h_bar_133.png,F:\program\test-demo\backend\charts\h_bar\h_bar_133.png,x_axis_type_wrong,text,numeric,text,text,13,13,15,13
h_bar,h_bar_137.png,F:\program\test-demo\backend\charts\h_bar\h_bar_137.png,x_axis_type_wrong,text,numeric,text,text,14,14,11,14
h_bar,h_bar_139.png,F:\program\test-demo\backend\charts\h_bar\h_bar_139.png,x_axis_type_wrong,text,numeric,text,text,6,6,13,6
h_bar,h_bar_141.png,F:\program\test-demo\backend\charts\h_bar\h_bar_141.png,x_axis_type_wrong,text,numeric,text,text,10,10,9,10
h_bar,h_bar_142.png,F:\program\test-demo\backend\charts\h_bar\h_bar_142.png,x_axis_type_wrong,text,numeric,text,text,8,8,13,8
h_bar,h_bar_144.png,F:\program\test-demo\backend\charts\h_bar\h_bar_144.png,x_axis_type_wrong,text,numeric,text,text,19,19,13,19
h_bar,h_bar_147.png,F:\program\test-demo\backend\charts\h_bar\h_bar_147.png,x_axis_type_wrong,text,numeric,text,text,6,6,15,6
h_bar,h_bar_148.png,F:\program\test-demo\backend\charts\h_bar\h_bar_148.png,x_axis_type_wrong,text,numeric,text,text,10,10,17,10
h_bar,h_bar_150.png,F:\program\test-demo\backend\charts\h_bar\h_bar_150.png,x_axis_type_wrong,text,numeric,text,text,6,6,9,6
h_bar,h_bar_152.png,F:\program\test-demo\backend\charts\h_bar\h_bar_152.png,x_axis_type_wrong,text,numeric,text,text,16,16,9,16
h_bar,h_bar_154.png,F:\program\test-demo\backend\charts\h_bar\h_bar_154.png,x_axis_type_wrong,text,numeric,text,text,6,6,9,6
h_bar,h_bar_155.png,F:\program\test-demo\backend\charts\h_bar\h_bar_155.png,x_axis_type_wrong,text,numeric,text,text,6,6,11,6
h_bar,h_bar_156.png,F:\program\test-demo\backend\charts\h_bar\h_bar_156.png,x_axis_type_wrong,text,numeric,text,text,5,5,11,5
h_bar,h_bar_163.png,F:\program\test-demo\backend\charts\h_bar\h_bar_163.png,x_axis_type_wrong,text,numeric,text,text,3,3,13,3
h_bar,h_bar_164.png,F:\program\test-demo\backend\charts\h_bar\h_bar_164.png,x_axis_type_wrong,text,numeric,text,text,12,12,11,12
h_bar,h_bar_166.png,F:\program\test-demo\backend\charts\h_bar\h_bar_166.png,x_axis_type_wrong,text,numeric,text,text,2,2,17,2
h_bar,h_bar_168.png,F:\program\test-demo\backend\charts\h_bar\h_bar_168.png,x_axis_type_wrong|y_axis_type_wrong,text,numeric,numeric,text,10,6,11,10
h_bar,h_bar_169.png,F:\program\test-demo\backend\charts\h_bar\h_bar_169.png,x_axis_type_wrong,text,numeric,text,text,6,6,17,6
h_bar,h_bar_172.png,F:\program\test-demo\backend\charts\h_bar\h_bar_172.png,x_axis_type_wrong,text,numeric,text,text,9,9,9,9
h_bar,h_bar_174.png,F:\program\test-demo\backend\charts\h_bar\h_bar_174.png,x_axis_type_wrong,text,numeric,text,text,20,20,11,20
h_bar,h_bar_175.png,F:\program\test-demo\backend\charts\h_bar\h_bar_175.png,x_axis_type_wrong,text,numeric,text,text,15,15,11,15
h_bar,h_bar_187.png,F:\program\test-demo\backend\charts\h_bar\h_bar_187.png,x_axis_type_wrong,text,numeric,text,text,8,8,13,8
h_bar,h_bar_188.png,F:\program\test-demo\backend\charts\h_bar\h_bar_188.png,x_axis_type_wrong,text,numeric,text,text,10,10,11,10
h_bar,h_bar_193.png,F:\program\test-demo\backend\charts\h_bar\h_bar_193.png,x_axis_type_wrong,text,numeric,text,text,17,17,15,17
h_bar,h_bar_195.png,F:\program\test-demo\backend\charts\h_bar\h_bar_195.png,x_axis_type_wrong,text,numeric,text,text,5,5,17,5
h_bar,h_bar_196.png,F:\program\test-demo\backend\charts\h_bar\h_bar_196.png,x_axis_type_wrong,text,numeric,text,text,4,4,11,4
h_bar,h_bar_199.png,F:\program\test-demo\backend\charts\h_bar\h_bar_199.png,x_axis_type_wrong,text,numeric,text,text,6,6,13,6
