Entity,Code,Year,Human Development Index,GDP per capita,Population,World region according to OWID
Algeria,DZA,2006,0.698,13920.694,33623505,Africa
Algeria,DZA,2007,0.704,14114.675,34189420,Africa
Algeria,DZA,2008,0.711,14206.776,34816963,Africa
Algeria,DZA,2009,0.714,14104.428,35490442,Africa
Algeria,DZA,2010,0.718,14496.421,36188237,Africa
Algeria,DZA,2011,0.718,14641.964,36903374,Africa
Algeria,DZA,2012,0.723,14697.54,37646165,Africa
Algeria,DZA,2013,0.727,14778.191,38414176,Africa
Algeria,DZA,2014,0.732,15073.763,39205035,Africa
Algeria,DZA,2015,0.737,15239.518,40019528,Africa
Algeria,DZA,2016,0.743,15511.686,40850719,Africa
Algeria,DZA,2017,0.746,15427.664,41689302,Africa
Algeria,DZA,2018,0.749,15343.426,42505033,Africa
Algeria,DZA,2019,0.753,15199.199,43294551,Africa
Algeria,DZA,2020,0.742,14194.155,44042094,Africa
Algeria,DZA,2021,0.755,14496.865,44761099,Africa
Algeria,DZA,2022,0.761,14782.2,45477391,Africa
Algeria,DZA,2023,0.763,15159.324,46164222,Africa
Algeria,DZA,2024,,15501.92,46164222,Africa
Andorra,AND,1990,,50036.3,52616,Europe
Andorra,AND,1991,,47624.97,56691,Europe
Andorra,AND,1992,,45246.53,60217,Europe
Andorra,AND,1993,,42605.66,63293,Europe
Andorra,AND,1994,,42716.367,64631,Europe
Andorra,AND,1995,,44375.023,63936,Europe
Andorra,AND,1996,,46386.09,64006,Europe
Andorra,AND,1997,,50032.35,64722,Europe
Andorra,AND,1998,,51092.223,65400,Europe
Andorra,AND,1999,,52921.047,65732,Europe
Andorra,AND,2000,0.825,54809.145,65703,Europe
Andorra,AND,2001,0.832,59109.016,65874,Europe
Andorra,AND,2002,0.838,61188.637,66528,Europe
Andorra,AND,2003,0.84,63656.195,69507,Europe
Andorra,AND,2004,0.849,64353.484,74342,Europe
Andorra,AND,2005,0.842,65114.805,77436,Europe
Andorra,AND,2006,0.851,66390.3,79609,Europe
Andorra,AND,2007,0.859,65534.117,81901,Europe
Andorra,AND,2008,0.864,60691.605,83513,Europe
Andorra,AND,2009,0.866,57203.973,83907,Europe
Andorra,AND,2010,0.87,58285.06,80727,Europe
Andorra,AND,2011,0.875,60470.465,77801,Europe
Andorra,AND,2012,0.876,58172.133,76858,Europe
Andorra,AND,2013,0.862,57332.16,75220,Europe
Andorra,AND,2014,0.866,59929.246,73755,Europe
Andorra,AND,2015,0.869,62105.152,72195,Europe
Andorra,AND,2016,0.872,64402.81,72197,Europe
Andorra,AND,2017,0.873,63239.656,73780,Europe
Andorra,AND,2018,0.875,63048.598,75181,Europe
Andorra,AND,2019,0.876,63215.9,76492,Europe
Andorra,AND,2020,0.851,55488.492,77397,Europe
Andorra,AND,2021,0.871,59332.203,78379,Europe
Andorra,AND,2022,0.893,63913.383,79722,Europe
Andorra,AND,2023,0.913,64631.297,80869,Europe
Andorra,AND,2024,,65928.305,80869,Europe
Angola,AGO,1990,,8368.723,11626361,Africa
Angola,AGO,1991,,8172.5054,12023532,Africa
Angola,AGO,1992,,7447.494,12423717,Africa
Angola,AGO,1993,,5483.2773,12827136,Africa
Angola,AGO,1994,,5379.475,13249763,Africa
Angola,AGO,1995,,5983.184,13699780,Africa
Angola,AGO,1996,,6567.6777,14170973,Africa
Angola,AGO,1997,,6810.2163,14660419,Africa
Angola,AGO,1998,,6895.026,15159378,Africa
Angola,AGO,1999,0.379,6817.057,15667235,Africa
Angola,AGO,2000,0.391,6796.4062,16194873,Africa
Angola,AGO,2001,0.401,6848.683,16747204,Africa
Angola,AGO,2002,0.417,7523.813,17327701,Africa
Angola,AGO,2003,0.435,7518.8896,17943718,Africa
Angola,AGO,2004,0.448,8081.757,18600426,Africa
Angola,AGO,2005,0.463,8895.377,19291160,Africa
Angola,AGO,2006,0.475,9588.822,20015281,Africa
Angola,AGO,2007,0.492,10437.59,20778570,Africa
Angola,AGO,2008,0.504,11134.705,21578656,Africa
Angola,AGO,2009,0.517,10933.271,22414775,Africa
Angola,AGO,2010,0.528,11077.13,23294822,Africa
Angola,AGO,2011,0.545,11037.639,24218358,Africa
Angola,AGO,2012,0.557,11519.993,25177398,Africa
Angola,AGO,2013,0.567,11626.1875,26165616,Africa
Angola,AGO,2014,0.577,11721.664,27160767,Africa
Angola,AGO,2015,0.603,11392.906,28157802,Africa
Angola,AGO,2016,0.609,10805.712,29183072,Africa
Angola,AGO,2017,0.61,10414.236,30234836,Africa
Angola,AGO,2018,0.611,10000.944,31297160,Africa
Angola,AGO,2019,0.611,9648.011,32375633,Africa
Angola,AGO,2020,0.61,8960.338,33451139,Africa
Angola,AGO,2021,0.609,8862.281,34532427,Africa
Angola,AGO,2022,0.615,8950.143,35635028,Africa
Angola,AGO,2023,0.616,8788.261,36749909,Africa
Angola,AGO,2024,,8901.888,36749909,Africa
Antigua and Barbuda,ATG,1990,,21074.576,63087,North America
Antigua and Barbuda,ATG,1991,,21424.291,63406,North America
Antigua and Barbuda,ATG,1992,,21330.273,64422,North America
Antigua and Barbuda,ATG,1993,,22051.438,65601,North America
Antigua and Barbuda,ATG,1994,,23081.664,66860,North America
Antigua and Barbuda,ATG,1995,,21639.602,68210,North America
Antigua and Barbuda,ATG,1996,,22597.314,69629,North America
Antigua and Barbuda,ATG,1997,,23350.309,71071,North America
Antigua and Barbuda,ATG,1998,,23996.115,72430,North America
Antigua and Barbuda,ATG,1999,,24462.203,73681,North America
Antigua and Barbuda,ATG,2000,,25547.611,74929,North America
Antigua and Barbuda,ATG,2001,,24014.775,76082,North America
Antigua and Barbuda,ATG,2002,,23958.164,77049,North America
Antigua and Barbuda,ATG,2003,,25136.002,77896,North America
Antigua and Barbuda,ATG,2004,,26303.617,78734,North America
Antigua and Barbuda,ATG,2005,,27692.635,79628,North America
Antigua and Barbuda,ATG,2006,,30827.342,80619,North America
Antigua and Barbuda,ATG,2007,0.827,33245.27,81716,North America
Antigua and Barbuda,ATG,2008,0.83,32756.307,82926,North America
Antigua and Barbuda,ATG,2009,0.827,28405.69,84193,North America
Antigua and Barbuda,ATG,2010,0.828,25826.61,85337,North America
Antigua and Barbuda,ATG,2011,0.828,25023.918,86350,North America
Antigua and Barbuda,ATG,2012,0.833,25592.906,87275,North America
Antigua and Barbuda,ATG,2013,0.835,25206.846,88074,North America
Antigua and Barbuda,ATG,2014,0.837,25557.525,88784,North America
Antigua and Barbuda,ATG,2015,0.839,25734.152,89421,North America
Antigua and Barbuda,ATG,2016,0.842,26627.715,89980,North America
Antigua and Barbuda,ATG,2017,0.845,27199.195,90483,North America
Antigua and Barbuda,ATG,2018,0.85,28878.607,90942,North America
Antigua and Barbuda,ATG,2019,0.851,29651.863,91377,North America
Antigua and Barbuda,ATG,2020,0.84,23930.672,91864,North America
Antigua and Barbuda,ATG,2021,0.843,25745.496,92358,North America
Antigua and Barbuda,ATG,2022,0.848,27941.785,92850,North America
Antigua and Barbuda,ATG,2023,0.851,28474.045,93331,North America
Antigua and Barbuda,ATG,2024,,29371.639,93331,North America
Arab States (UNDP),,1990,0.55,,,
Arab States (UNDP),,1991,0.552,,,
Arab States (UNDP),,1992,0.561,,,
Arab States (UNDP),,1993,0.571,,,
Arab States (UNDP),,1994,0.577,,,
Arab States (UNDP),,1995,0.582,,,
Arab States (UNDP),,1996,0.59,,,
Arab States (UNDP),,1997,0.596,,,
Arab States (UNDP),,1998,0.603,,,
Arab States (UNDP),,1999,0.609,,,
Arab States (UNDP),,2000,0.615,,,
Arab States (UNDP),,2001,0.621,,,
Arab States (UNDP),,2002,0.626,,,
Arab States (UNDP),,2003,0.63,,,
Arab States (UNDP),,2004,0.638,,,
Arab States (UNDP),,2005,0.645,,,
Arab States (UNDP),,2006,0.652,,,
Arab States (UNDP),,2007,0.658,,,
Arab States (UNDP),,2008,0.661,,,
Arab States (UNDP),,2009,0.666,,,
Arab States (UNDP),,2010,0.67,,,
Arab States (UNDP),,2011,0.672,,,
Arab States (UNDP),,2012,0.68,,,
Arab States (UNDP),,2013,0.683,,,
Arab States (UNDP),,2014,0.688,,,
Arab States (UNDP),,2015,0.693,,,
Arab States (UNDP),,2016,0.698,,,
Arab States (UNDP),,2017,0.702,,,
Arab States (UNDP),,2018,0.707,,,
Arab States (UNDP),,2019,0.712,,,
Arab States (UNDP),,2020,0.707,,,
Arab States (UNDP),,2021,0.71,,,
Arab States (UNDP),,2022,0.716,,,
Arab States (UNDP),,2023,0.719,,,
Argentina,ARG,1990,0.733,17007.285,32755907,South America
Argentina,ARG,1991,0.739,18295.61,33230293,South America
Argentina,ARG,1992,0.743,19476.283,33693532,South America
Argentina,ARG,1993,0.748,20791.346,34152719,South America
Argentina,ARG,1994,0.753,21711.844,34613492,South America
Argentina,ARG,1995,0.754,20819.5,35070016,South America
Argentina,ARG,1996,0.76,21695.596,35513795,South America
Argentina,ARG,1997,0.768,23172.158,35947790,South America
Argentina,ARG,1998,0.772,23783.102,36372862,South America
Argentina,ARG,1999,0.783,22714.512,36794687,South America
Argentina,ARG,2000,0.789,22281.38,37213986,South America
Argentina,ARG,2001,0.795,21066.459,37624817,South America
Argentina,ARG,2002,0.795,18571.701,38029345,South America
Argentina,ARG,2003,0.804,20005.139,38424283,South America
Argentina,ARG,2004,0.808,21591.45,38815915,South America
Argentina,ARG,2005,0.812,23262.408,39216786,South America
Argentina,ARG,2006,0.822,24877.25,39622113,South America
Argentina,ARG,2007,0.825,26850.664,40016767,South America
Argentina,ARG,2008,0.833,27658.484,40424151,South America
Argentina,ARG,2009,0.835,25747.197,40854832,South America
Argentina,ARG,2010,0.844,28056.258,41288694,South America
Argentina,ARG,2011,0.852,29425.76,41730655,South America
Argentina,ARG,2012,0.85,28825.967,42161718,South America
Argentina,ARG,2013,0.852,29227.66,42582453,South America
Argentina,ARG,2014,0.855,28200.814,43024071,South America
Argentina,ARG,2015,0.859,28669.207,43477011,South America
Argentina,ARG,2016,0.857,27802.105,43900312,South America
Argentina,ARG,2017,0.861,28334.904,44288898,South America
Argentina,ARG,2018,0.861,27367.115,44654876,South America
Argentina,ARG,2019,0.861,26629.553,44973469,South America
Argentina,ARG,2020,0.851,23877.094,45191960,South America
Argentina,ARG,2021,0.847,26300.273,45312282,South America
Argentina,ARG,2022,0.858,27825.027,45407904,South America
Argentina,ARG,2023,0.865,27230.396,45538402,South America
Argentina,ARG,2024,,26771.965,45538402,South America
Armenia,ARM,1990,0.663,6137.6006,3552130,Asia
Armenia,ARM,1991,0.652,5326.753,3613978,Asia
Armenia,ARM,1992,0.618,3136.7244,3571870,Asia
Armenia,ARM,1993,0.621,2958.8804,3453339,Asia
Armenia,ARM,1994,0.625,3200.8965,3364620,Asia
Armenia,ARM,1995,0.631,3480.7559,3307586,Asia
Armenia,ARM,1996,0.635,3717.3357,3278738,Asia
Armenia,ARM,1997,0.644,3879.1794,3246292,Asia
Armenia,ARM,1998,0.655,4211.5127,3208399,Asia
Armenia,ARM,1999,0.661,4406.9673,3167282,Asia
Armenia,ARM,2000,0.667,4589.0083,3125630,Asia
Armenia,ARM,2001,0.672,5044.1167,3084350,Asia
Armenia,ARM,2002,0.682,5731.3535,3055636,Asia
Armenia,ARM,2003,0.692,6569.2603,3038976,Asia
Armenia,ARM,2004,0.7,7299.4,3022544,Asia
Armenia,ARM,2005,0.711,8362.9,3006360,Asia
Armenia,ARM,2006,0.725,9525.231,2990371,Asia
Armenia,ARM,2007,0.739,10898.849,2974825,Asia
Armenia,ARM,2008,0.743,11727.482,2959996,Asia
Armenia,ARM,2009,0.741,10143.235,2945518,Asia
Armenia,ARM,2010,0.747,10438.564,2931083,Asia
Armenia,ARM,2011,0.752,10990.177,2923269,Asia
Armenia,ARM,2012,0.761,11796.274,2922529,Asia
Armenia,ARM,2013,0.766,12194.019,2922526,Asia
Armenia,ARM,2014,0.772,12667.376,2922433,Asia
Armenia,ARM,2015,0.777,13112.76,2921179,Asia
Armenia,ARM,2016,0.783,13192.994,2918796,Asia
Armenia,ARM,2017,0.785,14243.875,2914966,Asia
Armenia,ARM,2018,0.789,15037.045,2909971,Asia
Armenia,ARM,2019,0.796,16215.36,2903975,Asia
Armenia,ARM,2020,0.761,15052.936,2890893,Asia
Armenia,ARM,2021,0.786,15921.705,2870339,Asia
Armenia,ARM,2022,0.801,17886.178,2880880,Asia
Armenia,ARM,2023,0.811,19402.752,2943398,Asia
Armenia,ARM,2024,,20078.785,2943398,Asia
Aruba,ABW,1990,,33063,64452,North America
Aruba,ABW,1991,,33993.207,66564,North America
Aruba,ABW,1992,,34371.164,68889,North America
Aruba,ABW,1993,,34540.336,71091,North America
Aruba,ABW,1994,,35490.723,73475,North America
Aruba,ABW,1995,,35386.86,75930,North America
Aruba,ABW,1996,,34419.43,78497,North America
Aruba,ABW,1997,,35444.58,81123,North America
Aruba,ABW,1998,,35271.906,83788,North America
Aruba,ABW,1999,,35227.477,86483,North America
Aruba,ABW,2000,,37524.035,88772,North America
Aruba,ABW,2001,,38729.457,90320,North America
Aruba,ABW,2002,,38098.906,91393,North America
Aruba,ABW,2003,,38086.01,92324,North America
Aruba,ABW,2004,,40000.562,93223,North America
Aruba,ABW,2005,,38828.215,94239,North America
Aruba,ABW,2006,,38566.8,95403,North America
Aruba,ABW,2007,,39462.586,96604,North America
Aruba,ABW,2008,,39881.59,97815,North America
Aruba,ABW,2009,,34986.15,99040,North America
Aruba,ABW,2010,,33951.625,100127,North America
Aruba,ABW,2011,,34837.94,100995,North America
Aruba,ABW,2012,,33972.34,101774,North America
Aruba,ABW,2013,,35621.785,102570,North America
Aruba,ABW,2014,,35746.863,103381,North America
Aruba,ABW,2015,,36660.633,104200,North America
Aruba,ABW,2016,,36832.902,104989,North America
Aruba,ABW,2017,,38116.832,105737,North America
Aruba,ABW,2018,,39278.83,106447,North America
Aruba,ABW,2019,,39652.633,107089,North America
Aruba,ABW,2020,,30347.637,107411,North America
Aruba,ABW,2021,,35104.785,107565,North America
Aruba,ABW,2022,,38979.836,107792,North America
Aruba,ABW,2023,,41964.77,107946,North America
Aruba,ABW,2024,,44558.93,107946,North America
Asia,OWID_ASI,2000,0.569869,,3746832777,
Asia,OWID_ASI,2001,0.5783103,,3797954107,
Asia,OWID_ASI,2002,0.5859656,,3847359674,
Asia,OWID_ASI,2003,0.5955544,,3895799439,
Asia,OWID_ASI,2004,0.6048904,,3944378395,
Asia,OWID_ASI,2005,0.61573684,,3992890580,
Asia,OWID_ASI,2006,0.6248776,,4041771416,
Asia,OWID_ASI,2007,0.63415104,,4090564345,
Asia,OWID_ASI,2008,0.64034575,,4139267468,
Asia,OWID_ASI,2009,0.64756656,,4188829464,
Asia,OWID_ASI,2010,0.65679175,,4238694946,
Asia,OWID_ASI,2011,0.66498727,,4288350005,
Asia,OWID_ASI,2012,0.67128,,4338443538,
Asia,OWID_ASI,2013,0.677284,,4387757369,
Asia,OWID_ASI,2014,0.68550044,,4435744576,
Asia,OWID_ASI,2015,0.6922845,,4482088489,
Asia,OWID_ASI,2016,0.6996885,,4527178153,
Asia,OWID_ASI,2017,0.7046988,,4571224645,
Asia,OWID_ASI,2018,0.7085525,,4612352852,
Asia,OWID_ASI,2019,0.7126623,,4651098724,
Asia,OWID_ASI,2020,0.7130719,,4686811214,
Asia,OWID_ASI,2021,0.71319216,,4716999164,
Asia,OWID_ASI,2022,0.7262154,,4746329727,
Asia,OWID_ASI,2023,0.73009235,,4776659631,
Australia,AUS,1990,0.867,36267.742,17126304,Oceania
Australia,AUS,1991,0.868,35670.668,17353191,Oceania
Australia,AUS,1992,0.868,35426.285,17549286,Oceania
Australia,AUS,1993,0.872,36533.15,17722905,Oceania
Australia,AUS,1994,0.873,37622.652,17897433,Oceania
Australia,AUS,1995,0.882,38653.336,18095340,Oceania
Australia,AUS,1996,0.884,39663.16,18305305,Oceania
Australia,AUS,1997,0.887,40773.566,18504911,Oceania
Australia,AUS,1998,0.891,42257.17,18701710,Oceania
Australia,AUS,1999,0.893,43899.074,18909980,Oceania
Australia,AUS,2000,0.897,45099.074,19132472,Oceania
Australia,AUS,2001,0.9,45428.2,19365438,Oceania
Australia,AUS,2002,0.902,46688.395,19595356,Oceania
Australia,AUS,2003,0.906,47581.23,19819449,Oceania
Australia,AUS,2004,0.91,49061.277,20046679,Oceania
Australia,AUS,2005,0.914,49997.066,20294490,Oceania
Australia,AUS,2006,0.917,50693.727,20590566,Oceania
Australia,AUS,2007,0.919,51663.242,20954545,Oceania
Australia,AUS,2008,0.924,52473.383,21370595,Oceania
Australia,AUS,2009,0.927,52407.91,21783014,Oceania
Australia,AUS,2010,0.929,52739.27,22141583,Oceania
Australia,AUS,2011,0.933,53257.047,22479779,Oceania
Australia,AUS,2012,0.938,54403.883,22852648,Oceania
Australia,AUS,2013,0.935,54895.004,23236271,Oceania
Australia,AUS,2014,0.937,55489.07,23595599,Oceania
Australia,AUS,2015,0.938,55879.996,23947997,Oceania
Australia,AUS,2016,0.939,56529.953,24329963,Oceania
Australia,AUS,2017,0.94,56881.855,24731044,Oceania
Australia,AUS,2018,0.945,57647.844,25119700,Oceania
Australia,AUS,2019,0.947,58048.617,25482714,Oceania
Australia,AUS,2020,0.95,57260.465,25743787,Oceania
Australia,AUS,2021,0.954,58327.414,25956417,Oceania
Australia,AUS,2022,0.952,60029.133,26200987,Oceania
Australia,AUS,2023,0.958,60684.96,26451126,Oceania
Australia,AUS,2024,,60303.98,26451126,Oceania
Austria,AUT,1990,0.832,43258.176,7679627,Europe
Austria,AUT,1991,0.835,44302.42,7757140,Europe
Austria,AUT,1992,0.841,44734.855,7842715,Europe
Austria,AUT,1993,0.845,44601.207,7907492,Europe
Austria,AUT,1994,0.851,45497.137,7938157,Europe
Austria,AUT,1995,0.856,46639.53,7950322,Europe
Austria,AUT,1996,0.861,47608.633,7960917,Europe
Austria,AUT,1997,0.865,48575.16,7969804,Europe
Austria,AUT,1998,0.87,50216.7,7978465,Europe
Austria,AUT,1999,0.874,52004.53,7993894,Europe
Austria,AUT,2000,0.879,53534.344,8012929,Europe
Austria,AUT,2001,0.883,54032.152,8042233,Europe
Austria,AUT,2002,0.887,54565.08,8081640,Europe
Austria,AUT,2003,0.889,54919.79,8122604,Europe
Austria,AUT,2004,0.895,55980.23,8173496,Europe
Austria,AUT,2005,0.898,56890.28,8229204,Europe
Austria,AUT,2006,0.902,58460.24,8269901,Europe
Austria,AUT,2007,0.905,60470.91,8296948,Europe
Austria,AUT,2008,0.907,61157.99,8323250,Europe
Austria,AUT,2009,0.907,58810.44,8345073,Europe
Austria,AUT,2010,0.912,59730.55,8365087,Europe
Austria,AUT,2011,0.915,61272.258,8393272,Europe
Austria,AUT,2012,0.916,61376.723,8431599,Europe
Austria,AUT,2013,0.915,60863.055,8481411,Europe
Austria,AUT,2014,0.919,60845.66,8547812,Europe
Austria,AUT,2015,0.919,60951.688,8644037,Europe
Austria,AUT,2016,0.921,61572.71,8737920,Europe
Austria,AUT,2017,0.922,62535.9,8798779,Europe
Austria,AUT,2018,0.925,63778.027,8841653,Europe
Austria,AUT,2019,0.928,64609.375,8880876,Europe
Austria,AUT,2020,0.925,60276.414,8921402,Europe
Austria,AUT,2021,0.93,62968.94,8967053,Europe
Austria,AUT,2022,0.927,65694.555,9064678,Europe
Austria,AUT,2023,0.93,64536.297,9130434,Europe
Austria,AUT,2024,,63788.08,9130434,Europe
Azerbaijan,AZE,1990,,10776.067,7231084,Asia
Azerbaijan,AZE,1991,,10559.212,7314317,Asia
Azerbaijan,AZE,1992,,8050.2163,7405781,Asia
Azerbaijan,AZE,1993,,6097.4863,7504119,Asia
Azerbaijan,AZE,1994,,4830.699,7608894,Asia
Azerbaijan,AZE,1995,0.618,4211.721,7719283,Asia
Azerbaijan,AZE,1996,0.622,4223.523,7830981,Asia
Azerbaijan,AZE,1997,0.626,4425.5884,7936220,Asia
Azerbaijan,AZE,1998,0.636,4822.16,8025808,Asia
Azerbaijan,AZE,1999,0.646,5133.748,8100472,Asia
Azerbaijan,AZE,2000,0.652,5656.9297,8174784,Asia
Azerbaijan,AZE,2001,0.66,6168.9854,8251776,Asia
Azerbaijan,AZE,2002,0.669,6701.0815,8326141,Asia
Azerbaijan,AZE,2003,0.676,7329.4062,8400528,Asia
Azerbaijan,AZE,2004,0.682,7937.8594,8489874,Asia
Azerbaijan,AZE,2005,0.692,10054.101,8597248,Asia
Azerbaijan,AZE,2006,0.711,13371.658,8711380,Asia
Azerbaijan,AZE,2007,0.72,16587.365,8828313,Asia
Azerbaijan,AZE,2008,0.731,17963.021,8942637,Asia
Azerbaijan,AZE,2009,0.74,19242.39,9046336,Asia
Azerbaijan,AZE,2010,0.744,19925.39,9146852,Asia
Azerbaijan,AZE,2011,0.746,19358.078,9256156,Asia
Azerbaijan,AZE,2012,0.751,19523.373,9376179,Asia
Azerbaijan,AZE,2013,0.757,20398.646,9504417,Asia
Azerbaijan,AZE,2014,0.766,20709.201,9631136,Asia
Azerbaijan,AZE,2015,0.771,20678.754,9752859,Asia
Azerbaijan,AZE,2016,0.772,19822.41,9868434,Asia
Azerbaijan,AZE,2017,0.774,19659.004,9968510,Asia
Azerbaijan,AZE,2018,0.775,19781.852,10039782,Asia
Azerbaijan,AZE,2019,0.78,20101.492,10110483,Asia
Azerbaijan,AZE,2020,0.757,19126.098,10181736,Asia
Azerbaijan,AZE,2021,0.765,20111.375,10234372,Asia
Azerbaijan,AZE,2022,0.784,21051.244,10295307,Asia
